Epoch, Exe_time, Loss 
1, 0.02, 1.005 
2, 0.02, 1.002 
3, 0.02, 0.998 
4, 0.02, 0.994 
5, 0.02, 0.990 
6, 0.02, 0.986 
7, 0.02, 0.982 
8, 0.02, 0.977 
9, 0.02, 0.971 
10, 0.02, 0.964 
11, 0.02, 0.956 
12, 0.02, 0.946 
13, 0.02, 0.934 
14, 0.02, 0.917 
15, 0.02, 0.893 
16, 0.02, 0.861 
17, 0.02, 0.816 
18, 0.02, 0.762 
19, 0.02, 0.708 
20, 0.02, 0.667 
21, 0.02, 0.641 
22, 0.02, 0.622 
23, 0.02, 0.604 
24, 0.02, 0.586 
25, 0.02, 0.569 
26, 0.02, 0.552 
27, 0.02, 0.535 
28, 0.02, 0.520 
29, 0.02, 0.506 
30, 0.02, 0.493 
31, 0.02, 0.482 
32, 0.02, 0.472 
33, 0.02, 0.464 
34, 0.02, 0.456 
35, 0.02, 0.450 
36, 0.02, 0.445 
37, 0.02, 0.440 
38, 0.02, 0.436 
39, 0.02, 0.433 
40, 0.02, 0.430 
41, 0.02, 0.428 
42, 0.02, 0.426 
43, 0.02, 0.424 
44, 0.02, 0.423 
45, 0.02, 0.421 
46, 0.02, 0.421 
47, 0.02, 0.420 
48, 0.02, 0.419 
49, 0.02, 0.418 
50, 0.02, 0.418 
51, 0.02, 0.417 
52, 0.03, 0.417 
53, 0.04, 0.416 
54, 0.02, 0.416 
55, 0.02, 0.416 
56, 0.02, 0.415 
57, 0.02, 0.415 
58, 0.02, 0.414 
59, 0.02, 0.414 
60, 0.02, 0.414 
61, 0.02, 0.413 
62, 0.02, 0.413 
63, 0.02, 0.413 
64, 0.02, 0.412 
65, 0.03, 0.412 
66, 0.02, 0.412 
67, 0.02, 0.411 
68, 0.02, 0.411 
69, 0.03, 0.411 
70, 0.02, 0.411 
71, 0.02, 0.410 
72, 0.02, 0.410 
73, 0.02, 0.410 
74, 0.02, 0.410 
75, 0.02, 0.409 
76, 0.02, 0.409 
77, 0.02, 0.409 
78, 0.02, 0.408 
79, 0.02, 0.408 
