Epoch, Exe_time, Loss 
1, 0.01, 1.005 
2, 0.01, 1.001 
3, 0.01, 0.997 
4, 0.01, 0.993 
5, 0.01, 0.989 
6, 0.01, 0.984 
7, 0.01, 0.980 
8, 0.01, 0.974 
9, 0.01, 0.968 
10, 0.01, 0.961 
11, 0.01, 0.952 
12, 0.01, 0.942 
13, 0.01, 0.928 
14, 0.01, 0.910 
15, 0.01, 0.886 
16, 0.01, 0.854 
17, 0.01, 0.811 
18, 0.01, 0.762 
19, 0.01, 0.718 
20, 0.01, 0.685 
21, 0.01, 0.660 
22, 0.01, 0.641 
23, 0.01, 0.623 
24, 0.01, 0.607 
25, 0.01, 0.591 
26, 0.01, 0.575 
27, 0.01, 0.560 
28, 0.01, 0.544 
29, 0.01, 0.529 
30, 0.01, 0.515 
31, 0.01, 0.502 
32, 0.01, 0.489 
33, 0.01, 0.478 
34, 0.01, 0.468 
35, 0.01, 0.460 
36, 0.01, 0.453 
37, 0.01, 0.447 
38, 0.01, 0.442 
39, 0.01, 0.437 
40, 0.01, 0.433 
41, 0.01, 0.430 
42, 0.01, 0.427 
43, 0.01, 0.424 
44, 0.01, 0.422 
45, 0.01, 0.420 
46, 0.01, 0.419 
47, 0.01, 0.417 
48, 0.01, 0.416 
49, 0.01, 0.415 
50, 0.01, 0.414 
51, 0.01, 0.413 
52, 0.01, 0.413 
53, 0.01, 0.412 
54, 0.01, 0.411 
55, 0.01, 0.411 
56, 0.01, 0.411 
57, 0.01, 0.410 
58, 0.01, 0.410 
59, 0.01, 0.409 
60, 0.01, 0.409 
61, 0.01, 0.409 
62, 0.01, 0.408 
63, 0.01, 0.408 
64, 0.01, 0.407 
65, 0.01, 0.407 
66, 0.01, 0.406 
67, 0.01, 0.406 
68, 0.01, 0.406 
69, 0.01, 0.405 
70, 0.01, 0.405 
71, 0.01, 0.404 
72, 0.01, 0.403 
73, 0.01, 0.403 
74, 0.01, 0.402 
75, 0.01, 0.402 
76, 0.01, 0.401 
77, 0.01, 0.401 
78, 0.01, 0.400 
79, 0.01, 0.400 
80, 0.01, 0.400 
81, 0.01, 0.400 
82, 0.01, 0.399 
83, 0.01, 0.399 
84, 0.01, 0.399 
85, 0.01, 0.399 
86, 0.01, 0.399 
87, 0.01, 0.399 
88, 0.01, 0.398 
89, 0.01, 0.398 
90, 0.01, 0.398 
91, 0.01, 0.398 
92, 0.01, 0.398 
93, 0.01, 0.398 
94, 0.01, 0.398 
95, 0.01, 0.398 
96, 0.01, 0.398 
97, 0.01, 0.398 
98, 0.01, 0.398 
99, 0.01, 0.398 
100, 0.01, 0.398 
101, 0.01, 0.398 
102, 0.01, 0.398 
103, 0.01, 0.398 
104, 0.01, 0.397 
105, 0.01, 0.397 
106, 0.01, 0.398 
107, 0.01, 0.397 
108, 0.01, 0.397 
109, 0.01, 0.397 
110, 0.01, 0.397 
111, 0.01, 0.397 
112, 0.01, 0.397 
113, 0.01, 0.397 
114, 0.01, 0.397 
115, 0.01, 0.397 
116, 0.01, 0.397 
117, 0.01, 0.397 
118, 0.01, 0.397 
119, 0.01, 0.397 
120, 0.01, 0.396 
121, 0.01, 0.396 
122, 0.01, 0.396 
123, 0.01, 0.396 
124, 0.01, 0.396 
125, 0.01, 0.396 
126, 0.01, 0.396 
127, 0.01, 0.396 
128, 0.01, 0.396 
129, 0.01, 0.395 
130, 0.01, 0.396 
131, 0.01, 0.395 
132, 0.01, 0.395 
133, 0.01, 0.395 
134, 0.01, 0.395 
135, 0.01, 0.395 
136, 0.01, 0.395 
137, 0.01, 0.395 
138, 0.01, 0.395 
139, 0.01, 0.395 
140, 0.01, 0.395 
141, 0.01, 0.395 
142, 0.01, 0.394 
143, 0.01, 0.395 
144, 0.01, 0.394 
145, 0.01, 0.395 
146, 0.01, 0.394 
147, 0.01, 0.394 
