Epoch, Exe_time, Loss 
1, 0.00, 0.999 
2, 0.00, 0.995 
3, 0.00, 0.992 
4, 0.00, 0.988 
5, 0.00, 0.985 
6, 0.00, 0.981 
7, 0.00, 0.977 
8, 0.00, 0.972 
9, 0.00, 0.967 
10, 0.00, 0.962 
11, 0.00, 0.955 
12, 0.00, 0.948 
13, 0.00, 0.938 
14, 0.00, 0.926 
15, 0.00, 0.911 
16, 0.00, 0.891 
17, 0.00, 0.865 
18, 0.00, 0.831 
19, 0.00, 0.789 
20, 0.00, 0.744 
21, 0.00, 0.702 
22, 0.00, 0.666 
23, 0.00, 0.639 
24, 0.00, 0.618 
25, 0.00, 0.600 
26, 0.00, 0.584 
27, 0.00, 0.569 
28, 0.00, 0.555 
29, 0.00, 0.541 
30, 0.00, 0.529 
31, 0.00, 0.517 
32, 0.00, 0.506 
33, 0.00, 0.495 
34, 0.00, 0.486 
35, 0.00, 0.477 
36, 0.00, 0.469 
37, 0.00, 0.462 
38, 0.00, 0.456 
39, 0.00, 0.451 
40, 0.00, 0.447 
41, 0.00, 0.443 
42, 0.00, 0.440 
43, 0.00, 0.437 
44, 0.00, 0.435 
45, 0.00, 0.433 
46, 0.00, 0.431 
47, 0.00, 0.430 
48, 0.00, 0.429 
49, 0.00, 0.427 
50, 0.00, 0.427 
51, 0.00, 0.426 
52, 0.00, 0.425 
53, 0.00, 0.424 
54, 0.00, 0.423 
55, 0.00, 0.423 
56, 0.00, 0.422 
57, 0.00, 0.422 
58, 0.00, 0.421 
59, 0.00, 0.421 
60, 0.00, 0.420 
61, 0.00, 0.419 
62, 0.00, 0.419 
63, 0.00, 0.418 
64, 0.00, 0.418 
65, 0.00, 0.417 
66, 0.00, 0.417 
67, 0.00, 0.416 
68, 0.00, 0.415 
69, 0.00, 0.414 
70, 0.00, 0.414 
71, 0.00, 0.413 
72, 0.00, 0.412 
73, 0.00, 0.412 
74, 0.00, 0.411 
75, 0.00, 0.411 
76, 0.00, 0.411 
77, 0.00, 0.411 
78, 0.00, 0.410 
79, 0.00, 0.410 
80, 0.00, 0.410 
81, 0.00, 0.409 
82, 0.00, 0.409 
83, 0.00, 0.409 
84, 0.00, 0.409 
85, 0.00, 0.409 
86, 0.00, 0.408 
87, 0.00, 0.408 
88, 0.00, 0.408 
89, 0.00, 0.408 
90, 0.00, 0.408 
91, 0.00, 0.407 
92, 0.00, 0.407 
93, 0.00, 0.407 
94, 0.00, 0.406 
95, 0.00, 0.406 
96, 0.00, 0.406 
97, 0.00, 0.406 
98, 0.00, 0.405 
99, 0.00, 0.405 
100, 0.00, 0.404 
101, 0.00, 0.404 
102, 0.00, 0.404 
103, 0.00, 0.404 
104, 0.00, 0.404 
105, 0.00, 0.403 
106, 0.00, 0.403 
107, 0.00, 0.403 
108, 0.00, 0.403 
109, 0.00, 0.403 
110, 0.00, 0.402 
111, 0.00, 0.402 
112, 0.00, 0.402 
113, 0.00, 0.402 
114, 0.00, 0.401 
115, 0.00, 0.401 
116, 0.00, 0.401 
117, 0.00, 0.401 
118, 0.00, 0.400 
119, 0.00, 0.400 
120, 0.00, 0.400 
121, 0.00, 0.400 
122, 0.00, 0.400 
123, 0.00, 0.399 
124, 0.00, 0.399 
125, 0.00, 0.399 
126, 0.00, 0.399 
127, 0.00, 0.399 
128, 0.00, 0.399 
129, 0.00, 0.399 
130, 0.00, 0.399 
131, 0.00, 0.399 
132, 0.00, 0.399 
133, 0.00, 0.398 
134, 0.00, 0.398 
135, 0.00, 0.398 
136, 0.00, 0.398 
137, 0.00, 0.398 
138, 0.00, 0.397 
139, 0.00, 0.397 
140, 0.00, 0.397 
141, 0.00, 0.397 
142, 0.00, 0.397 
143, 0.00, 0.397 
144, 0.00, 0.397 
145, 0.00, 0.397 
146, 0.00, 0.397 
147, 0.00, 0.396 
148, 0.00, 0.397 
149, 0.00, 0.396 
150, 0.00, 0.396 
151, 0.00, 0.396 
152, 0.00, 0.396 
153, 0.00, 0.396 
154, 0.00, 0.396 
155, 0.00, 0.396 
156, 0.00, 0.396 
